DAY,HR,count,mean,std,min,25%,50%,75%,max
,10,4,2.337502553,0.341230291,1.881337326,2.176218653,2.418123162,2.579407061,2.63242656
,11,3,1.48465383,0.464932021,1.088950805,1.228624509,1.368298212,1.682505343,1.996712473
,12,4,1.588989302,0.425543187,1.162990907,1.275382242,1.556605211,1.870212271,2.079755881
,13,3,3.059851733,2.546298914,1.339449706,1.597302583,1.855155459,3.920052747,5.984950034
,14,2,2.091266398,0.41789537,1.795769748,1.943518073,2.091266398,2.239014723,2.386763048
,15,4,2.03090623,0.798455747,1.509629274,1.573912303,1.699954024,2.156947952,3.214087599
,16,4,1.847212187,0.165252594,1.667398851,1.737757309,1.841366631,1.950821508,2.038716634
,17,4,1.963739802,0.676151929,1.291657617,1.558675805,1.849108084,2.254172081,2.865085422
,18,4,2.920257327,0.998309594,1.655263499,2.517000859,2.977663074,3.380919542,4.07043966
,19,4,3.568043458,1.997211531,2.233506522,2.521498803,2.750857716,3.797402371,6.536951879
,20,4,1.44780504,0.481787027,1.115596917,1.207303507,1.256179187,1.49668072,2.163264869
,22,1,3.107344633,,3.107344633,3.107344633,3.107344633,3.107344633,3.107344633
,23,1,3.2504363,,3.2504363,3.2504363,3.2504363,3.2504363,3.2504363
5,0,1,5.129032258,,5.129032258,5.129032258,5.129032258,5.129032258,5.129032258
,6,2,1.404173306,0.490347886,1.05744499,1.230809148,1.404173306,1.577537463,1.750901621
,7,4,2.446573114,0.585038731,1.74182819,2.091209861,2.504046779,2.859410032,3.03637071
,8,4,2.743794692,0.479666399,2.227441534,2.414191923,2.731008034,3.060610803,3.285721166
,9,4,2.174764093,0.069401336,2.073733842,2.157271899,2.200870284,2.218362478,2.223581961
,10,3,1.333585208,0.078618227,1.258616535,1.292675501,1.326734466,1.371069544,1.415404622
,11,3,1.363001702,0.074047526,1.291773191,1.324713421,1.357653651,1.398615958,1.439578264
,12,3,1.762277102,0.081733606,1.667932682,1.737603549,1.807274415,1.809449312,1.811624208
,13,2,2.010415347,0.297447595,1.800088135,1.905251741,2.010415347,2.115578952,2.220742558
,14,2,1.538837395,0.341163657,1.297598259,1.418217827,1.538837395,1.659456962,1.78007653
,15,3,1.631549844,0.525857483,1.141976579,1.353621479,1.565266379,1.876336477,2.187406574
,16,3,2.220278237,0.046792331,2.178780509,2.19492068,2.211060851,2.241027102,2.270993352
,17,3,4.197752529,1.808428081,2.957667909,3.160226267,3.362784625,4.81779484,6.272805054
,18,3,7.0869867,0.54358346,6.666666667,6.780051992,6.893437316,7.297146717,7.700856118
,19,3,3.737696293,3.322656907,1.406054254,1.835445705,2.264837155,4.903517313,7.54219747
,20,3,2.866016415,1.701496411,1.68985057,1.890512287,2.091174003,3.454099337,4.817024671
,21,1,3.697884788,,3.697884788,3.697884788,3.697884788,3.697884788,3.697884788
,22,2,1.82675728,0.315927194,1.603363018,1.715060149,1.82675728,1.93845441,2.050151541
6,2,1,5.658914729,,5.658914729,5.658914729,5.658914729,5.658914729,5.658914729
,7,1,4.268292683,,4.268292683,4.268292683,4.268292683,4.268292683,4.268292683
,8,2,1.837630241,0.709838882,1.335698354,1.586664298,1.837630241,2.088596185,2.339562128
,10,3,1.376226157,0.323282797,1.009265387,1.254835451,1.500405515,1.559706542,1.619007569
,11,3,1.249659142,0.313766162,1.024977334,1.070415777,1.11585422,1.362000047,1.608145873
,12,4,1.395417594,0.239587009,1.14137945,1.249173379,1.371010642,1.517254856,1.69826964
,13,2,1.469348905,0.026900755,1.450327199,1.459838052,1.469348905,1.478859758,1.488370611
,14,4,1.301879061,0.187947957,1.056592912,1.226721324,1.322034207,1.397191944,1.506854917
,15,2,1.396273003,0.364743697,1.138360261,1.267316632,1.396273003,1.525229373,1.654185744
,16,3,1.498850318,0.080592417,1.411681816,1.462948118,1.514214419,1.542434569,1.570654718
,17,2,1.448345739,0.181881562,1.319736053,1.384040896,1.448345739,1.512650582,1.576955425
,18,3,1.887518223,0.904183378,1.184213242,1.377562826,1.57091241,2.239170713,2.907429016
,19,3,1.662035758,0.707305744,1.248007194,1.253685758,1.259364321,1.86905004,2.478735759
,20,1,1.374191179,,1.374191179,1.374191179,1.374191179,1.374191179,1.374191179
,21,2,1.446195953,0.329219829,1.213402379,1.329799166,1.446195953,1.562592739,1.678989526
,22,2,2.588123338,0.303305554,2.373653924,2.480888631,2.588123338,2.695358045,2.802592752
,23,1,1.73926122,,1.73926122,1.73926122,1.73926122,1.73926122,1.73926122
7,4,1,3.805175038,,3.805175038,3.805175038,3.805175038,3.805175038,3.805175038
,5,1,14.16,,14.16,14.16,14.16,14.16,14.16
,10,3,1.44907646,0.093897772,1.379724055,1.395650014,1.411575973,1.483752663,1.555929352
,11,3,1.400448917,0.264626273,1.142265442,1.265133998,1.388002553,1.529540655,1.671078756
,12,3,1.491029565,0.162902898,1.315337507,1.418009386,1.520681265,1.578875594,1.637069922
,13,4,1.43149793,0.67732278,1.021377912,1.056626529,1.131540269,1.50641167,2.44153327
,14,2,1.734461909,0.763970979,1.194252849,1.464357379,1.734461909,2.004566439,2.274670969
,15,2,3.043121191,0.050622518,3.007325665,3.025223428,3.043121191,3.061018953,3.078916716
,16,4,1.614449105,0.575073886,1.004740842,1.182981612,1.671826324,2.103293817,2.109402932
,17,3,1.28948732,0.195359859,1.102247463,1.188199375,1.274151287,1.383107249,1.49206321
,18,2,1.258667083,0.135760057,1.162670226,1.210668655,1.258667083,1.306665512,1.35466394
,19,2,1.239719378,0.133532056,1.145297956,1.192508667,1.239719378,1.286930089,1.3341408
,20,4,1.730433756,0.525229922,1.163943455,1.476874042,1.665824227,1.91938394,2.426143116
